loan_id,application_date,loan_amount,interest_rate,term_months,loan_status,customer_income,customer_credit_score,employment_length
52,2023-02-04,44574.02,8.29,12,Approved,53888.03,489,5-10 years
53,2031-08-19,29055.62,18.92,48,Approved,71118.83,479,3-5 years
54,2028-05-09,28414.02,23.78,24,Rejected,85643.21,319,>10 years
55,2027-05-05,25263.79,14.85,60,Approved,136039.99,658,5-10 years
56,2033-10-18,3935.01,15.11,24,Approved,132938.47,306,1-3 years
57,2031-06-01,4948.9,13.41,48,Approved,94666.16,621,<1 year
58,2025-10-18,30245.14,10.51,48,Rejected,48830.82,567,3-5 years
59,2032-06-23,17377.45,13.73,24,Approved,72436.41,726,3-5 years
60,2030-02-26,45904.77,16.46,36,Pending,-146832.3,595,<1 year
61,2033-07-10,20626.23,24.7,48,Pending,99010.52,812,5-10 years
62,2027-02-09,7592.43,23.66,60,Rejected,121542.71,686,1-3 years
63,2036-02-20,35878.58,22.04,24,Rejected,78482.41,563,>10 years
64,2023-06-11,15020.99,22.62,36,Approved,89160.95,389,5-10 years
65,2034-10-07,26510.78,13.56,24,Approved,75764.03,787,<1 year
66,2028-06-04,35042.72,17.64,36,Approved,111379.73,560,5-10 years
67,2025-09-22,45063.07,22.74,36,Approved,130691.23,787,5-10 years
68,2036-06-12,39713.46,11.95,60,Rejected,85957.26,640,<1 year
69,2032-02-25,33979.87,24.18,48,Approved,82512.77,628,<1 year
70,2035-06-18,34141.84,12.44,36,Approved,64237.24,700,>10 years
71,2033-05-26,47323.27,16.42,48,Rejected,43022.57,656,<1 year
72,2026-06-29,15143.29,18.76,60,Pending,142102.2,798,<1 year
73,2025-10-13,555.05,23.94,48,Rejected,61090.36,734,<1 year
74,2023-12-04,13961.75,,12,Rejected,124089.89,418,3-5 years
75,2025-05-28,11285.62,19.54,36,Rejected,112995.11,346,<1 year
76,2025-12-12,33260.81,14.7,60,Pending,122819.29,467,<1 year
77,2036-05-19,31868.72,9.27,24,Approved,141779.86,647,<1 year
78,2033-12-07,29876.34,20.2,60,Defaulted,101038.2,803,>10 years
79,2036-04-21,1304.05,15.37,36,Pending,136733.54,838,5-10 years
80,2024-01-15,36574.51,17.71,60,Approved,41800.65,595,<1 year
81,2024-05-07,16514.76,10.44,24,Approved,101472.63,812,<1 year
82,2028-08-24,33420.27,13.85,12,Pending,120395.83,473,>10 years
83,2033-08-20,28050.63,16.77,36,Defaulted,55313.35,694,5-10 years
84,2023-03-06,17465.18,12.21,36,Approved,116297.99,829,>10 years
85,2030-01-12,7161.53,7.77,60,Approved,121201.99,602,1-3 years
86,2028-07-20,5173.74,24.18,48,Rejected,128054.43,501,1-3 years
87,2030-05-19,41660.16,14.5,48,Defaulted,60674.78,832,1-3 years
88,2027-02-04,45960.68,19.28,24,Approved,108608.86,455,<1 year
89,2024-01-27,,12.34,12,Approved,59552.93,313,>10 years
90,2035-05-12,5619.99,11.14,12,Pending,116075.25,319,<1 year
91,2035-04-02,20400.35,12.25,60,Approved,80186.58,756,1-3 years
92,2032-10-01,36582.49,12.3,60,Rejected,97680.77,472,5-10 years
93,2029-03-28,39101.13,15.2,48,Approved,-74059.2,744,5-10 years
94,2031-06-27,6351.82,15.18,12,Approved,41057.78,421,>10 years
95,2023-07-20,501.52,14.19,12,Approved,43143.84,796,5-10 years
96,2036-05-07,35750.78,6.4,12,Approved,30083.96,483,1-3 years
97,2031-07-02,18151.51,14.17,24,Approved,100349.45,348,>10 years
98,2035-08-04,13096.83,7.14,24,Approved,130322.99,480,>10 years
99,2029-09-20,1138.42,6.21,60,Rejected,22708.79,693,1-3 years
100,2032-12-24,27244.82,23.55,48,Approved,28611.14,692,1-3 years
101,2025-03-15,42631.96,16.51,36,Defaulted,79470.71,647,1-3 years
102,2030-06-24,47902.77,17.68,48,Approved,115903.7,775,1-3 years
103,2030-08-05,28504.38,12.14,24,Pending,40501.99,440,>10 years
104,2027-04-20,25965.84,23.04,24,Approved,55314.67,829,5-10 years
105,2030-05-14,,17.22,60,Approved,50160.81,770,1-3 years
106,2033-07-07,27669.2,20.04,36,Pending,71876.66,562,3-5 years
107,2025-10-25,19308.96,11.42,12,Pending,49249.83,442,>10 years
108,2024-05-17,30553.2,24.14,36,Rejected,65837.83,445,<1 year
109,2035-04-21,19741.95,21.14,36,Rejected,114710.54,593,5-10 years
110,2025-05-20,12394.81,21.86,36,Pending,99431.2,837,>10 years
111,2035-04-16,5200.78,,60,Approved,30553.62,808,1-3 years
112,2023-07-26,16088.46,9.33,24,Rejected,102906.94,721,3-5 years
113,2027-01-24,5283.92,9.64,12,Pending,82020.03,716,<1 year
114,2025-05-13,9256.4,9.32,36,Defaulted,141493.52,406,5-10 years
115,2030-08-22,49373.14,21.89,12,Rejected,57609.56,617,1-3 years
116,2024-07-17,22483.13,4.19,36,Approved,114401.63,358,>10 years
117,2034-06-23,26827.65,5.14,24,Approved,115011.91,557,>10 years
118,2027-10-24,43744.12,9.39,12,Pending,48795.1,724,5-10 years
119,2027-08-06,49780.66,7.8,48,Rejected,137419.07,830,3-5 years
120,2031-11-17,29344.37,8.48,24,Pending,83853.82,465,1-3 years
121,2035-09-11,40717.45,20.66,12,Rejected,108254.84,324,5-10 years
122,2025-11-25,16683.58,15.61,36,Approved,38961.22,303,5-10 years
123,2027-09-19,15634.33,3.62,36,Approved,53514.51,302,>10 years
124,2032-01-28,20433.83,12.73,24,Approved,96193.93,717,5-10 years
125,2031-08-24,33789.11,,24,Pending,61473.54,661,<1 year
126,2030-03-10,34268.49,5.95,36,Pending,84960.08,668,<1 year
127,2030-06-22,16104.35,18.04,12,Approved,68620.68,838,1-3 years
128,2027-05-17,7093.89,18.6,48,Pending,-103271.99,645,5-10 years
129,2031-05-19,31803.61,19.0,60,Approved,83328.9,343,>10 years
130,2030-05-17,6852.13,19.16,24,Approved,20599.29,452,1-3 years
131,2036-05-23,29135.38,3.5,36,Rejected,104458.51,501,3-5 years
132,2032-12-06,34824.4,24.01,12,Approved,74875.8,620,>10 years
133,2026-09-25,35180.27,21.01,24,Pending,64420.78,763,3-5 years
134,2028-06-04,37796.87,22.94,12,Rejected,32239.08,310,1-3 years
135,2027-07-22,43706.54,3.84,24,Rejected,48648.06,526,<1 year
136,2027-03-10,25247.97,23.58,36,Approved,49090.4,632,>10 years
137,2028-07-31,36647.33,20.91,12,Approved,141598.03,768,>10 years
138,2032-01-16,31149.05,21.5,36,Rejected,76226.69,314,1-3 years
139,2029-02-15,9738.68,5.51,12,Rejected,25468.56,356,>10 years
140,2026-07-30,1771.64,19.38,24,Rejected,38046.17,629,>10 years
141,2034-01-12,14584.8,24.14,60,Approved,30274.25,363,1-3 years
142,2030-04-29,22430.17,18.09,60,Approved,96553.02,529,5-10 years
143,2026-07-06,31046.74,15.77,48,Pending,-44260.79,310,1-3 years
144,2024-12-10,42572.99,23.83,48,Rejected,84812.49,523,>10 years
145,2035-12-28,10214.16,13.02,36,Approved,68108.07,841,1-3 years
146,2035-01-31,6714.71,16.38,12,Approved,124503.93,805,>10 years
147,2033-04-06,48192.26,13.74,48,Rejected,61663.65,821,3-5 years
148,2036-02-01,5848.21,23.56,24,Approved,79574.51,353,3-5 years
149,2024-10-25,24185.31,5.14,60,Approved,113767.12,456,<1 year
150,2028-06-21,29485.4,14.27,12,Approved,76335.66,704,1-3 years
151,2032-06-07,27298.03,18.27,60,Approved,123118.02,698,1-3 years
152,2033-04-01,4758.59,20.53,12,Pending,106018.97,702,3-5 years
153,2027-02-04,499733.0,16.03,48,Approved,73368.78,388,3-5 years
154,2032-01-18,5721.43,23.04,48,Approved,85517.65,485,3-5 years
155,2033-04-21,29486.59,23.75,36,Approved,145736.45,378,<1 year
156,2028-01-28,,4.88,12,Approved,106009.49,444,<1 year
157,2035-10-04,12070.17,12.15,24,Pending,137649.38,313,5-10 years
158,2026-07-15,32069.82,4.0,48,Approved,43238.61,301,1-3 years
159,2032-10-21,41093.34,10.58,36,Pending,82820.7,815,<1 year
160,2032-06-19,2558.16,15.04,48,Approved,138126.02,365,>10 years
161,2027-06-25,25157.43,23.08,60,Approved,61939.57,545,1-3 years
162,2033-02-13,34620.87,21.7,48,Approved,145796.35,729,5-10 years
163,2031-03-19,12989.44,6.24,12,Approved,32620.07,531,3-5 years
164,2031-08-19,15734.66,5.5,36,Pending,137347.25,735,5-10 years
165,2024-11-29,30875.08,16.17,12,Approved,77877.58,652,1-3 years
166,2028-11-30,44947.8,14.94,24,Rejected,29586.74,682,3-5 years
167,2034-03-21,40591.26,9.23,24,Approved,134337.81,359,5-10 years
168,2035-12-21,29364.95,22.84,48,Approved,52752.23,769,5-10 years
169,2025-05-04,36645.98,23.44,36,Approved,22892.52,710,1-3 years
170,2032-07-06,18558.71,12.16,36,Rejected,37654.92,382,<1 year
171,2027-09-04,32227.79,22.64,36,Approved,105684.92,373,>10 years
172,2030-08-09,23575.99,11.75,36,Approved,147115.49,610,5-10 years
173,2027-09-30,9901.84,19.34,48,Approved,34490.08,753,>10 years
174,2036-07-02,35236.04,13.73,12,Approved,80053.25,325,1-3 years
175,2032-08-11,28045.0,6.14,48,Defaulted,43482.75,725,1-3 years
176,2023-07-22,18251.77,23.45,12,Pending,116854.75,676,<1 year
177,2031-11-30,45611.29,13.26,60,Rejected,35347.66,542,3-5 years
178,2034-07-20,1536.24,19.29,60,Pending,51179.43,622,>10 years
179,2035-04-24,16130.77,11.39,12,Pending,45532.78,2000,5-10 years
180,2025-02-05,3315.63,3.91,48,Approved,91827.57,565,3-5 years
181,2035-01-07,38443.1,5.66,24,Pending,133513.93,849,>10 years
182,2029-05-16,35254.32,14.17,48,Approved,86441.73,679,>10 years
183,2031-01-10,16901.93,18.33,24,Approved,27571.65,376,3-5 years
184,2023-07-17,33945.31,10.7,48,Pending,93240.56,823,3-5 years
185,2028-04-14,20098.89,18.45,36,Rejected,123677.73,348,<1 year
186,2032-10-22,37934.56,18.52,36,Pending,37180.31,553,5-10 years
187,2024-08-31,22982.09,18.63,60,Pending,29452.46,679,5-10 years
188,2031-12-17,20907.85,14.09,60,Approved,44415.01,548,5-10 years
189,2026-02-21,46769.13,23.17,12,Approved,116991.22,371,3-5 years
190,2034-09-22,12918.52,14.02,24,Approved,96918.45,746,<1 year
191,2032-04-20,6462.14,13.18,36,Rejected,90277.31,805,1-3 years
192,2029-11-16,29434.88,7.79,48,Defaulted,52432.39,552,<1 year
193,2027-11-30,48481.43,10.11,12,Approved,63190.76,598,3-5 years
194,2024-10-21,19203.04,4.41,48,Approved,145565.05,359,<1 year
195,2030-09-12,3570.82,17.12,36,Approved,51281.28,656,3-5 years
196,2026-10-01,17295.61,8.84,36,Rejected,137213.91,456,>10 years
197,2028-06-09,25543.62,10.04,36,Pending,95469.1,641,>10 years
198,2023-05-27,,20.07,36,Approved,36028.54,501,1-3 years
199,2031-10-25,33076.06,10.54,48,Defaulted,80750.61,334,>10 years
200,2030-12-21,49888.59,8.71,12,Rejected,143311.33,834,1-3 years
201,2027-10-01,22861.1,7.13,36,Approved,74413.53,755,5-10 years
202,2028-01-18,,20.16,60,Defaulted,132240.25,464,3-5 years
203,2024-05-03,20334.86,6.29,12,Approved,53335.73,327,5-10 years
204,2031-02-24,6199.74,13.26,60,Approved,94219.88,671,5-10 years
205,2028-05-13,44222.04,14.4,48,Approved,129700.77,613,1-3 years
206,2029-07-13,21033.87,18.28,36,Rejected,139689.5,583,3-5 years
207,2030-12-29,19670.08,17.12,12,Pending,83157.04,597,1-3 years
208,2035-12-20,33154.67,20.93,36,Approved,103159.45,774,<1 year
209,2027-12-08,22380.65,4.46,36,Defaulted,20387.42,648,5-10 years
210,2034-02-13,32587.56,9.87,12,Approved,52919.03,744,3-5 years
211,2032-03-23,3541.59,9.52,36,Rejected,56232.57,506,5-10 years
212,2023-09-20,40779.31,6.64,36,Pending,32154.09,716,<1 year
213,2024-09-15,47054.95,,24,Approved,56360.35,738,<1 year
214,2025-10-13,32613.89,10.16,24,Approved,61745.86,464,3-5 years
215,2032-12-22,47751.01,14.72,12,Rejected,145939.59,719,3-5 years
216,2036-08-16,7995.9,,12,Approved,106918.31,670,<1 year
217,2028-08-11,24132.1,11.69,36,Pending,75380.66,565,5-10 years
218,2033-03-12,30289.43,18.97,60,Pending,148447.08,578,>10 years
219,2035-06-15,29295.96,10.73,12,Rejected,39920.2,781,5-10 years
220,2031-07-06,20372.36,9.74,36,Approved,81886.66,816,>10 years
221,2034-03-14,17235.18,15.14,60,Approved,104118.09,381,1-3 years
222,2028-08-18,6777.79,04.01,24,Approved,27225.48,418,3-5 years
223,2031-09-06,19891.25,5.22,12,Rejected,113209.85,602,<1 year
224,2027-08-10,8551.71,12.49,36,Approved,32982.76,514,1-3 years
225,2029-03-05,36851.1,23.77,24,Approved,38236.7,327,5-10 years
226,2026-02-28,10837.13,19.01,48,Defaulted,40759.64,797,>10 years
227,2035-04-27,3398.98,,24,Rejected,140755.68,836,3-5 years
228,2031-09-27,27842.12,21.7,36,Approved,108820.62,818,>10 years
229,2027-08-24,,,60,Defaulted,105205.58,493,5-10 years
230,2033-12-05,43659.7,16.64,48,Pending,92214.15,741,5-10 years
231,2035-12-07,29060.59,21.14,48,Approved,58064.78,335,<1 year
232,2035-10-27,17601.3,12.19,48,Approved,100715.66,557,1-3 years
233,2027-07-07,40249.09,8.26,12,Pending,73319.46,412,3-5 years
234,2026-12-16,27243.81,14.51,36,Rejected,38904.1,593,<1 year
235,2034-07-01,4424.37,15.3,48,Approved,109647.65,313,>10 years
236,2033-09-28,28509.6,15.07,24,Approved,36845.68,439,1-3 years
237,2023-09-11,45446.92,15.65,60,Approved,44786.92,670,3-5 years
238,2031-09-19,20117.47,23.9,36,Pending,126300.91,726,>10 years
239,2030-01-01,15168.13,22.9,24,Approved,105815.22,396,3-5 years
240,2023-04-09,,22.33,12,Approved,102028.85,787,3-5 years
241,2029-01-09,499733.0,20.73,48,Pending,74366.36,641,1-3 years
242,2031-02-09,21922.19,23.78,24,Rejected,71516.47,791,>10 years
243,2036-08-13,29986.15,5.62,36,Pending,109734.14,799,<1 year
244,2035-02-20,4490.46,9.2,24,Approved,116200.72,731,<1 year
245,2033-05-05,47008.65,14.14,12,Approved,86327.72,488,<1 year
246,2030-11-09,37879.11,21.7,60,Approved,146005.0,381,3-5 years
247,2031-11-09,29537.88,14.36,48,Defaulted,144240.94,479,5-10 years
248,2033-05-19,41507.71,19.58,36,Rejected,73615.83,714,1-3 years
249,2025-08-14,4469.24,6.49,48,Approved,126680.89,404,<1 year
250,2034-02-19,24103.52,8.93,48,Approved,90624.82,680,1-3 years
251,2023-06-10,31689.61,19.23,48,Pending,86528.27,628,3-5 years
252,2035-04-21,,07.04,24,Pending,27145.33,548,1-3 years
253,2026-07-24,39281.74,11.05,24,Approved,94616.71,371,<1 year
254,2036-06-12,14214.93,9.19,60,Rejected,137075.13,432,<1 year
255,2033-12-01,47073.57,11.02,12,Rejected,121417.4,539,3-5 years
256,2027-03-08,,18.73,36,Pending,122221.23,377,3-5 years
257,2026-05-03,43819.11,11.41,24,Rejected,40790.78,-50,>10 years
258,2035-04-24,48561.54,15.44,48,Rejected,66598.43,424,3-5 years
259,2035-12-19,9269.1,5.65,12,Rejected,50316.64,310,5-10 years
260,2031-07-02,36242.27,20.81,36,Defaulted,61068.99,767,5-10 years
261,2030-06-28,2494.13,11.45,36,Approved,95340.11,706,<1 year
262,2035-06-22,20568.43,17.44,36,Approved,67421.9,326,3-5 years
263,2025-08-12,26056.02,19.1,36,Rejected,92890.72,506,5-10 years
264,2035-07-02,29241.94,08.01,60,Rejected,77005.16,521,5-10 years
265,2032-06-08,46828.89,22.52,36,Defaulted,57260.02,611,>10 years
266,2025-11-11,33776.41,16.75,12,Approved,32402.45,681,3-5 years
267,2027-08-21,24323.26,12.72,24,Pending,135939.0,614,>10 years
268,2032-05-29,40578.91,7.42,12,Approved,21478.54,507,1-3 years
269,2024-07-16,47551.37,23.76,48,Pending,20214.82,595,>10 years
270,2029-10-21,1592.27,19.73,60,Approved,127483.71,701,1-3 years
271,2032-03-08,49134.8,7.97,60,Approved,149585.42,734,1-3 years
272,2023-08-14,4763.54,10.76,48,Approved,114523.37,-50,3-5 years
273,2036-05-25,40812.15,20.91,12,Pending,21985.6,405,1-3 years
274,2025-08-17,,18.46,12,Approved,49469.73,-50,1-3 years
275,2035-06-15,7042.89,19.96,48,Approved,146336.95,849,>10 years
276,2031-05-26,22272.85,,36,Approved,125118.55,371,3-5 years
277,2025-03-26,32375.85,18.9,36,Approved,93683.98,466,3-5 years
278,2036-01-07,19357.12,11.81,24,Defaulted,50791.89,520,1-3 years
279,2035-09-17,3200.99,08.04,12,Approved,21868.13,375,>10 years
280,2031-07-18,30173.33,17.1,12,Approved,22711.99,510,>10 years
281,2023-01-17,45168.96,24.48,48,Rejected,99557.51,527,>10 years
282,2026-05-28,499733.0,10.18,48,Pending,22838.14,2000,>10 years
283,2029-01-14,11208.47,13.41,36,Rejected,149171.92,786,<1 year
284,2029-11-29,22407.58,17.99,12,Pending,43839.9,773,1-3 years
285,2025-12-05,2893.95,15.14,12,Defaulted,112391.96,789,1-3 years
286,2032-06-06,41114.14,21.63,60,Approved,40157.76,675,1-3 years
287,2030-01-09,41403.87,19.88,24,Defaulted,90212.14,530,3-5 years
288,2025-11-26,29606.02,4.75,24,Rejected,30479.47,524,3-5 years
289,2029-05-16,17978.59,24.97,36,Pending,119681.2,774,>10 years
290,2032-05-13,40089.28,19.68,12,Pending,96039.74,379,3-5 years
291,2023-10-29,27957.01,22.07,60,Pending,31201.67,509,5-10 years
292,2034-09-16,41383.65,17.5,12,Approved,130316.2,596,1-3 years
293,2024-08-29,31757.21,21.91,48,Approved,91112.42,471,1-3 years
294,2031-09-06,39328.07,5.92,36,Defaulted,139807.0,388,<1 year
295,2024-11-30,30128.87,10.98,24,Pending,139161.04,525,<1 year
296,2026-02-13,20999.98,22.34,12,Approved,139666.01,442,5-10 years
297,2023-07-10,47918.32,7.84,36,Rejected,30112.08,353,<1 year
298,2029-04-19,27285.13,5.18,24,Pending,35724.51,495,>10 years
299,2025-09-07,30451.93,20.44,12,Approved,148401.76,788,>10 years
300,2031-02-23,11414.14,21.46,60,Rejected,83388.11,597,1-3 years
301,2026-03-30,31469.71,7.0,36,Rejected,50967.83,729,>10 years
302,2032-02-10,28794.58,21.87,12,Approved,120056.38,2000,<1 year
303,2032-04-17,9649.5,18.27,24,Defaulted,54357.08,799,5-10 years
304,2023-05-08,3449.56,14.68,24,Approved,114538.04,-50,>10 years
305,2028-08-27,30415.79,21.35,60,Approved,128847.15,436,1-3 years
306,2027-12-22,,12.51,36,Approved,121954.24,707,1-3 years
307,2024-07-23,26408.37,7.67,36,Pending,55626.22,578,<1 year
308,2028-03-10,11725.24,9.62,12,Approved,72210.41,744,>10 years
309,2030-06-26,33492.84,14.36,24,Approved,73722.63,2000,<1 year
310,2033-07-30,4465.23,14.92,24,Rejected,83865.48,740,1-3 years
311,2035-12-05,22370.77,20.82,60,Approved,41758.47,527,5-10 years
312,2033-12-28,8586.65,20.51,60,Rejected,78821.11,426,>10 years
313,2030-12-11,9630.72,16.0,36,Pending,86401.79,569,5-10 years
314,2027-08-14,10513.55,20.29,24,Defaulted,89122.17,786,>10 years
315,2031-03-29,19642.0,7.62,12,Pending,126587.06,847,1-3 years
316,2023-06-04,3031.94,4.58,48,Approved,87253.48,454,>10 years
317,2029-12-12,20190.78,22.28,12,Approved,50001.91,318,1-3 years
318,2026-11-10,25829.52,5.12,60,Rejected,106206.74,724,3-5 years
319,2034-02-09,24423.07,8.8,12,Rejected,123650.84,357,1-3 years
320,2025-02-23,19447.81,18.45,24,Approved,61518.32,722,1-3 years
321,2031-09-11,42037.76,12.3,36,Pending,103889.77,847,>10 years
322,2034-11-20,7693.67,22.34,48,Approved,39101.94,401,5-10 years
323,2030-09-07,25531.99,9.91,36,Defaulted,64450.42,375,1-3 years
324,2024-06-21,3571.05,3.76,48,Defaulted,138199.11,365,>10 years
325,2028-01-16,4022.21,9.96,48,Defaulted,138470.06,450,1-3 years
326,2029-09-21,28906.36,15.93,24,Rejected,94792.2,736,<1 year
327,2024-06-08,,11.58,24,Defaulted,111305.69,367,<1 year
328,2031-01-29,43962.66,15.0,60,Approved,131022.0,534,<1 year
329,2034-04-24,28114.75,22.35,60,Rejected,144611.91,397,<1 year
330,2036-02-02,48009.66,23.12,48,Rejected,83685.24,308,5-10 years
331,2034-04-08,2910.39,9.22,60,Defaulted,93004.85,803,1-3 years
332,2029-06-26,5351.38,13.44,24,Pending,74033.4,789,<1 year
333,2033-07-14,499733.0,15.31,60,Approved,29357.65,726,>10 years
334,2035-04-23,9671.2,23.91,48,Pending,74964.45,526,<1 year
335,2030-05-25,27292.87,24.97,36,Pending,122781.55,316,3-5 years
336,2025-08-29,32455.82,8.56,12,Approved,124635.11,527,3-5 years
337,2026-03-12,2756.47,19.13,60,Approved,136009.02,537,5-10 years
338,2036-06-30,47325.56,11.63,24,Pending,26690.67,680,3-5 years
339,2030-08-06,42187.19,3.67,36,Approved,88530.1,686,>10 years
340,2028-06-05,15182.32,3.7,24,Approved,33965.18,553,<1 year
341,2025-05-03,4320.78,13.4,60,Approved,46096.48,607,3-5 years
342,2034-05-09,8909.41,14.0,48,Defaulted,137028.15,613,3-5 years
343,2033-03-25,6783.75,3.99,12,Rejected,84582.86,600,5-10 years
344,2033-04-27,6602.55,18.27,12,Approved,118610.84,417,3-5 years
345,2024-07-28,26168.8,9.82,36,Rejected,28369.93,349,<1 year
346,2031-12-06,12669.45,15.54,12,Rejected,74187.45,480,1-3 years
347,2026-02-22,18227.92,9.97,48,Approved,107651.24,842,<1 year
348,2027-09-12,49480.51,07.09,24,Approved,37342.84,626,3-5 years
349,2036-01-30,34373.56,12.25,48,Pending,62356.32,802,3-5 years
350,2036-07-04,47474.54,8.49,36,Approved,28391.21,795,3-5 years
351,2033-07-21,7556.55,15.0,36,Rejected,104674.19,545,5-10 years
352,2029-10-27,19415.9,7.77,12,Approved,146215.86,842,>10 years
353,2030-04-14,27959.22,14.43,48,Approved,127515.91,401,<1 year
354,2031-07-22,4299.52,6.88,24,Defaulted,146701.01,529,3-5 years
355,2031-05-10,707.28,17.93,48,Approved,129928.62,687,1-3 years
356,2023-01-05,33686.5,19.71,24,Rejected,131175.45,510,5-10 years
357,2036-05-01,32270.07,5.87,24,Approved,95033.04,729,>10 years
358,2025-05-26,,13.56,48,Approved,-87372.8,638,3-5 years
359,2025-09-18,24737.38,05.02,60,Approved,72813.05,483,<1 year
360,2034-05-05,21064.43,16.36,48,Approved,126352.34,355,1-3 years
361,2034-12-13,1688.25,9.18,24,Approved,43668.79,581,5-10 years
362,2035-03-24,17100.89,14.84,36,Approved,27309.24,427,<1 year
363,2024-09-27,9265.57,14.63,36,Pending,143226.2,807,<1 year
364,2027-08-21,5372.0,23.37,12,Pending,20491.16,515,5-10 years
365,2027-08-10,47857.66,15.31,36,Approved,146987.81,389,<1 year
366,2036-01-05,30168.31,16.03,60,Rejected,114750.94,613,1-3 years
367,2023-04-30,,12.14,24,Approved,62704.86,532,1-3 years
368,2025-04-10,16110.51,23.91,48,Approved,110716.58,546,<1 year
369,2033-01-23,19960.78,20.21,48,Pending,126323.77,741,3-5 years
370,2026-10-01,12227.74,9.64,60,Approved,51897.07,434,<1 year
371,2025-01-10,5299.8,21.65,36,Approved,120216.44,301,3-5 years
372,2023-04-27,9362.07,12.8,24,Approved,124568.05,460,<1 year
373,2030-10-09,39976.95,21.32,36,Rejected,52416.1,439,>10 years
374,2026-02-24,34038.52,21.19,12,Pending,25450.43,603,1-3 years
375,2028-04-15,27572.98,7.56,36,Approved,46535.9,759,<1 year
376,2025-10-09,24016.95,18.57,12,Approved,46084.03,424,1-3 years
377,2027-07-23,46160.5,9.75,48,Rejected,28481.26,646,5-10 years
378,2025-12-17,4100.38,9.9,24,Pending,114380.96,623,>10 years
